"Country","Year","GDP_sum"
Malawi,2021,11.300000000000002
Malaysia,2015,112.486
Malaysia,2016,125.142
Malaysia,2017,129.121541976929
Malaysia,2018,116.10000000000001
Malaysia,2019,122.09999999999998
Malaysia,2020,116.8421626
Malaysia,2021,125.89999999999998
Maldives,2020,93.78643039999999
Maldives,2021,111.50000000000001
Mali,2015,26.073999999999998
Mali,2016,31.292
Mali,2017,47.61804938316351
Mali,2018,37.0
Mali,2019,38.5
Mali,2020,35.2462649
Mali,2021,38.7
Malta,2015,120.74000000000002
Malta,2016,130.782
Malta,2017,134.327983856201
Malta,2018,127.0
Malta,2019,130.0
Malta,2020,125.25132889999998
Malta,2021,141.1
Mauritania,2015,45.40699999999999
Mauritania,2016,61.391000000000005
Mauritania,2017,64.8457288742065
Mauritania,2018,55.70000000000001
Mauritania,2019,56.99999999999999
Mauritania,2020,53.96848920000001
Mauritania,2021,66.60000000000001
Mauritius,2015,100.761
Mauritius,2016,114.37200000000001
Mauritius,2017,118.939554691315
Mauritius,2018,109.00000000000003
Mauritius,2019,112.0
Mauritius,2020,107.36639500000001
Mauritius,2021,117.79999999999998
Mexico,2015,102.054
Mexico,2016,111.50800000000001
Mexico,2017,115.31838178634601
Mexico,2018,103.79999999999998
Mexico,2019,107.00000000000001
Mexico,2020,102.43874790000001
Mexico,2021,112.60000000000001
Moldova,2015,59.448
Moldova,2016,69.17699999999999
Moldova,2017,72.8870630264282
Moldova,2018,65.7
Moldova,2019,68.5
Moldova,2020,70.79167959999998
Moldova,2021,98.50000000000001
Mongolia,2015,82.81899999999999
Mongolia,2016,98.853
Mongolia,2017,102.723586559296
Mongolia,2018,91.4
Mongolia,2019,94.8
Mongolia,2020,90.48727749999999
Mongolia,2021,96.6
Montenegro,2015,97.438
Montenegro,2016,107.838
Montenegro,2017,112.11290359497097
Montenegro,2018,101.69999999999999
Montenegro,2019,105.1
Montenegro,2020,101.0150075
Montenegro,2021,115.5
Morocco,2015,73.479
Morocco,2016,84.05799999999999
Morocco,2017,87.81145811080928
Morocco,2018,77.9
Morocco,2019,80.10000000000001
Morocco,2020,75.86221100000002
Morocco,2021,79.2
Mozambique,2015,8.308
Mozambique,2017,23.4305649995804
Mozambique,2018,19.8
Mozambique,2019,20.4
Mozambique,2020,17.8741366
Mozambique,2021,18.3
Myanmar,2015,27.108
Myanmar,2016,34.111999999999995
Myanmar,2017,36.711055040359504
Myanmar,2018,68.2
Myanmar,2019,71.0
Myanmar,2020,67.80909300000002
Myanmar,2021,66.60000000000001
Namibia,2016,93.28699999999999
Namibia,2017,96.4434325695038
Namibia,2018,87.40000000000002
Namibia,2019,87.90000000000002
Namibia,2020,84.00819899999999
Namibia,2021,88.2
Nepal,2015,35.997
Nepal,2016,44.62599999999999
Nepal,2017,47.9820191860199
Nepal,2018,42.5
Nepal,2019,44.6
Nepal,2020,44.4050372
Nepal,2021,51.9
Netherlands,2015,132.944
Netherlands,2016,146.468
Netherlands,2017,150.394463539124
Netherlands,2018,136.1
Netherlands,2019,139.6
Netherlands,2020,133.89463419999998
Netherlands,2021,150.1
New Zealand,2015,125.01800000000001
New Zealand,2016,136.06600000000003
New Zealand,2017,140.57060480117798
New Zealand,2018,126.80000000000001
New Zealand,2019,130.29999999999998
New Zealand,2020,124.2317915
New Zealand,2021,140.0
Nicaragua,2015,59.324999999999996
Nicaragua,2016,69.384
Nicaragua,2017,73.7299203872681
Nicaragua,2018,66.80000000000001
Nicaragua,2019,69.39999999999999
Nicaragua,2020,62.00331449999999
Nicaragua,2021,69.3
Niger,2015,6.9399999999999995
Niger,2016,13.270000000000003
Niger,2017,16.1925330758095
Niger,2018,13.100000000000001
Niger,2019,13.800000000000002
Niger,2020,10.833033200000001
Niger,2021,16.2
Nigeria,2015,65.43499999999999
Nigeria,2016,75.21600000000001
Nigeria,2017,78.37562561035159
Nigeria,2018,68.89999999999999
Nigeria,2019,69.6
Nigeria,2020,64.5901859
Nigeria,2021,66.29999999999998
North Cyprus,2015,120.80599999999998
North Cyprus,2016,131.141
North Cyprus,2017,134.69113111496
North Cyprus,2020,121.27994299999997
North Cyprus,2021,137.7
North Macedonia,2019,98.30000000000001
North Macedonia,2021,106.8
Northern Cyprus,2018,122.90000000000002
Northern Cyprus,2019,126.29999999999998
Norway,2015,145.9
Norway,2016,157.744
Norway,2017,161.646318435669
Norway,2018,145.6
Norway,2019,148.8
Norway,2020,142.420733
Norway,2021,154.29999999999998
Oman,2015,136.011
Pakistan,2015,59.543
Pakistan,2016,68.816
Pakistan,2017,72.688353061676
Pakistan,2018,65.2
Pakistan,2019,67.7
Pakistan,2020,61.67994740000001
Pakistan,2021,63.7
Palestinian Territories,2015,59.86700000000001
Palestinian Territories,2016,67.024
Palestinian Territories,2017,71.6249227523804
Palestinian Territories,2018,64.2
Palestinian Territories,2019,65.7
Palestinian Territories,2020,58.7819219
Palestinian Territories,2021,64.60000000000001
Panama,2015,106.35300000000002
Panama,2016,118.306
Panama,2017,123.374843597412
Panama,2018,111.20000000000003
Panama,2019,114.90000000000002
Panama,2020,109.76678129999999
Panama,2021,129.8
Paraguay,2015,75.98500000000001
Paraguay,2016,89.373
Paraguay,2017,93.2537317276001
Paraguay,2018,83.5
Paraguay,2019,85.5
Paraguay,2020,89.7990823
Paraguay,2021,98.30000000000001
Peru,2015,90.019
Peru,2016,99.602
Peru,2017,103.52252721786499
Peru,2018,93.4
Peru,2019,96.0
Peru,2020,91.854918
Peru,2021,98.6
Philippines,2015,70.532
Philippines,2016,81.217
Philippines,2017,85.769921541214
Philippines,2018,77.5
Philippines,2019,80.7
Philippines,2020,77.5120676
Philippines,2021,85.3
Poland,2015,112.555
Poland,2016,124.585
Poland,2017,129.178786277771
Poland,2018,117.6
Poland,2019,120.59999999999998
Poland,2020,116.922915
Poland,2021,130.9
Portugal,2015,115.99099999999999
Portugal,2016,127.60699999999999
Portugal,2017,131.51752948761
Portugal,2018,118.80000000000001
Portugal,2019,122.1
Portugal,2020,116.8800831
Portugal,2021,132.29999999999998
Puerto Rico,2016,135.943
Qatar,2015,169.04199999999997
Qatar,2016,182.427
Qatar,2017,187.076568603516
Qatar,2018,164.89999999999998
Qatar,2019,168.40000000000003
Romania,2015,104.345
Romania,2016,116.97
Romania,2017,121.76839113235502
Romania,2018,111.60000000000001
Romania,2019,116.19999999999997
Romania,2020,112.04016209999999
Romania,2021,127.49999999999999
Russia,2015,113.76399999999998
Russia,2016,123.22800000000001
Russia,2017,128.177809715271
Russia,2018,115.10000000000002
Russia,2019,118.30000000000001
Russia,2020,112.6999617
Russia,2021,124.10000000000004
Rwanda,2015,22.208
Rwanda,2016,32.846
Rwanda,2017,36.874589323997505
Rwanda,2018,33.2
Rwanda,2019,35.9
Rwanda,2020,34.3242675
Rwanda,2021,36.39999999999999
Saudi Arabia,2015,139.541
Saudi Arabia,2016,148.953
Saudi Arabia,2017,153.06235551834098
Saudi Arabia,2018,137.9
Saudi Arabia,2019,140.3
Saudi Arabia,2020,133.4328532
Saudi Arabia,2021,143.5
Senegal,2015,36.49800000000001
Senegal,2016,44.314
Senegal,2017,47.9309022426605
Senegal,2018,42.89999999999999
Senegal,2019,45.0
Senegal,2020,50.4061818
Senegal,2021,51.800000000000004
Serbia,2015,92.053
Serbia,2016,103.43699999999998
Serbia,2017,106.931757926941
Serbia,2018,97.5
Serbia,2019,100.40000000000002
